state,year,fallow_other_than_current,current_fallow,total_fallow,net_area_sown,gross_cropped_area,area_sown_more_than_once,agricultural_land,cultivated_land,uncultivable_land,uncultivated_land,cropping_intensity,double_cropped_share,fallow_share,current_fallow_share,cultivated_land_share,uncultivated_share,net_area_sown_change,gross_cropped_area_change,agricultural_land_change,cultivated_land_change,fallow_change,net_area_sown_delta,gross_cropped_area_delta,agricultural_land_delta,cultivated_land_delta,fallow_delta,agricultural_land_from_baseline,net_area_sown_from_baseline,fallow_from_baseline,agricultural_land_3yr_mean,fallow_3yr_mean,cropping_intensity_3yr_mean
Assam,2015,88.0,94.0,182.0,2801.0,4060.0,1258.0,3343.0,2896.0,4501.0,4948.0,1.4494823277395754,0.44912531238827236,0.0544421178581949,0.028118456476210554,0.8662877654798485,1.4801076877052108,,,,,,,,,,,0.0,0.0,0.0,3343.0,182.0,1.4494823277395754
Assam,2016,92.0,105.0,197.0,2774.0,4087.0,1314.0,3337.0,2879.0,4507.0,4965.0,1.473323720259022,0.473684210526145,0.059035061432406645,0.03146538807311014,0.8627509739284199,1.487863350314208,-0.009639414494823306,0.006650246305418772,-0.0017947950942267532,-0.005870165745856304,0.08241758241758235,-27.0,27.0,-6.0,-17.0,15.0,-0.0017947950942262055,-0.009639414494819837,0.08241758241712958,3340.0,189.5,1.4614030239992988
Assam,2017,93.0,106.0,199.0,2723.0,4045.0,1323.0,3302.0,2829.0,4542.0,5015.0,1.4854939405062484,0.48586118251910176,0.06026650514837666,0.03210175651119561,0.8567534827374752,1.5187764990909998,-0.018385003604902694,-0.010276486420357278,-0.010488462691039868,-0.017367141368530792,0.010152284263959421,-51.0,-42.0,-35.0,-50.0,2.0,-0.012264433143879072,-0.027847197429479525,0.0934065934060802,3327.3333333333335,192.66666666666666,1.469433329501615
Assam,2018,92.0,108.0,199.0,2723.0,4004.0,1281.0,3305.0,2831.0,4539.0,5013.0,1.4704370179943187,0.47043701799468585,0.060211800302553645,0.03267776096822007,0.8565809379725093,1.5167927382748814,0.0,-0.010135970333745359,0.0009085402786190855,0.0007069635913750094,0.0,0.0,-41.0,3.0,2.0,0.0,-0.01136703559676597,-0.027847197429479525,0.0934065934060802,3314.6666666666665,198.33333333333334,1.4764182262531964
Assam,2019,99.0,117.0,217.0,2699.0,3975.0,1275.0,3296.0,2817.0,4548.0,5027.0,1.472767691737135,0.4723971841420999,0.06583737864075673,0.03549757281552321,0.8546723300968281,1.5251820388344888,-0.00881380829966949,-0.007242757242757247,-0.002723146747352523,-0.00494524902861182,0.09045226130653261,-24.0,-29.0,-9.0,-14.0,18.0,-0.014059228238105277,-0.03641556586931938,0.1923076923066357,3301.0,205.0,1.4762328834125673
Assam,2020,94.0,114.0,208.0,2724.0,3888.0,1165.0,3295.0,2838.0,4536.0,4993.0,1.4273127753298724,0.4276798825255405,0.06312594840665763,0.03459787556903351,0.861305007586992,1.5153262518963535,0.009262689885142672,-0.021886792452830206,-0.00030339805825241317,0.007454739084131967,-0.04147465437788023,25.0,-87.0,-1.0,21.0,-9.0,-0.014358360753809644,-0.027490182077819534,0.14285714285635795,3298.6666666666665,208.0,1.4568391616871088
Assam,2021,96.0,114.0,210.0,2749.0,3872.0,1123.0,3321.0,2863.0,4510.0,4968.0,1.4085121862490328,0.40851218624939667,0.06323396567297103,0.0343270099367557,0.8620897320081716,1.4959349593491431,0.009177679882525602,-0.004115226337448541,0.007890743550834634,0.008809020436927328,0.009615384615384581,25.0,-16.0,26.0,25.0,2.0,-0.006580915345496087,-0.018564798286319684,0.15384615384530856,3304.0,211.66666666666666,1.4361975511053469
Assam,2022,96.0,112.0,208.0,2744.0,4034.0,1290.0,3315.0,2856.0,4515.0,4973.0,1.470116618075266,0.47011661807563043,0.06274509803919676,0.03378582202110595,0.8615384615382017,1.5001508295621417,-0.0018188432157147938,0.04183884297520657,-0.0018066847335139746,-0.0024449877750610804,-0.00952380952380949,-5.0,162.0,-6.0,-7.0,-2.0,-0.008375710439722293,-0.020349875044619655,0.14285714285635795,3310.3333333333335,208.66666666666666,1.4353138598847235
Assam,2023,93.0,107.0,200.0,2756.0,4122.0,1365.0,3312.0,2863.0,4517.0,4966.0,1.4956458635698493,0.49528301886774484,0.06038647342993346,0.0323067632850144,0.8644323671494974,1.4993961352652478,0.004373177842565523,0.02181457610312343,-0.0009049773755656076,0.002450980392156854,-0.038461538461538436,12.0,88.0,-3.0,7.0,-8.0,-0.009273107986835396,-0.016065690824699726,0.0989010989005555,3316.0,206.0,1.4580915559647163
Assam,2024,92.0,100.0,192.0,2759.0,4084.0,1325.0,3304.0,2859.0,4525.0,4970.0,1.4802464661103731,0.4802464661107357,0.05811138014526086,0.0302663438256567,0.865314769975525,1.504237288135138,0.0010885341074020616,-0.009218825812712272,-0.0024154589371980784,-0.0013971358714635063,-0.040000000000000036,3.0,-38.0,-8.0,-4.0,-8.0,-0.011666168112470336,-0.014994644769719744,0.054945054944753054,3310.3333333333335,200.0,1.4820029825851628
Bihar,2015,119.0,961.0,1081.0,5205.0,7572.0,2368.0,6578.0,6166.0,2782.0,3193.0,1.4547550432273861,0.45494716618627185,0.16433566433563934,0.146093037397363,0.9373669808450992,0.4854058984493029,,,,,,,,,,,0.0,0.0,0.0,6578.0,1081.0,1.4547550432273861
Bihar,2016,119.0,868.0,987.0,5293.0,7654.0,2361.0,6572.0,6161.0,2787.0,3199.0,1.4460608350649071,0.44606083506509614,0.15018259281799295,0.1320754716980931,0.9374619598294374,0.4867620206937786,0.016906820365033548,0.010829371368198615,-0.0009121313469139247,-0.0008108984755108573,-0.08695652173913049,88.0,82.0,-6.0,-5.0,-94.0,-0.0009121313469138168,0.016906820365030373,-0.08695652173905,6575.0,1034.0,1.4504079391461466
Bihar,2017,119.0,919.0,1038.0,5242.0,7525.0,2283.0,6573.0,6161.0,2787.0,3198.0,1.4355207935899588,0.4355207935901496,0.15791875855771215,0.13981439221053707,0.9373193366802164,0.4865358283887895,-0.009635367466465095,-0.016853932584269704,0.0001521606816798915,0.0,0.05167173252279644,-51.0,-129.0,1.0,0.0,51.0,-0.0007601094557615141,0.007108549471660498,-0.03977798334871436,6574.333333333333,1035.3333333333333,1.445445557294084
Bihar,2018,118.0,995.0,1113.0,5167.0,7406.0,2239.0,6573.0,6162.0,2787.0,3198.0,1.4333268821363587,0.43332688213655246,0.16932907348240234,0.15137684466755646,0.9374714742125456,0.4865358283887895,-0.014307516215185001,-0.015813953488372112,0.0,0.00016231131309862867,0.07225433526011571,-75.0,-119.0,0.0,1.0,75.0,-0.0007601094557615141,-0.007300672430354024,0.029602220166485105,6572.666666666667,1046.0,1.438302836930408
Bihar,2019,118.0,1069.0,1186.0,5077.0,7297.0,2220.0,6557.0,6146.0,2802.0,3214.0,1.4372661020284738,0.437266102028671,0.18087540033549168,0.16303187433274927,0.9373188958363676,0.49016318438302725,-0.017418231081865687,-0.014717796381312431,-0.002434200517267615,-0.0025965595585848433,0.06558849955076362,-90.0,-109.0,-16.0,-16.0,73.0,-0.0031924597141983592,-0.02459173871277145,0.09713228492127925,6567.666666666667,1112.3333333333333,1.435371259251597
Bihar,2020,173.0,1028.0,1202.0,5045.0,7265.0,2219.0,6541.0,6073.0,2819.0,3286.0,1.4400396432108145,0.4398414271555124,0.18376395046626146,0.1571625133771354,0.9284513071394391,0.5023696682463686,-0.006302934804018112,-0.004385363848156798,-0.0024401403080677175,-0.011877643996095033,0.013490725126475533,-32.0,-32.0,-16.0,-73.0,16.0,-0.005624809972635204,-0.03073967339096431,0.1119333950045218,6557.0,1167.0,1.4368775424585492
Bihar,2021,174.0,1003.0,1177.0,5070.0,7329.0,2258.0,6542.0,6073.0,2818.0,3286.0,1.4455621301772295,0.4453648915186498,0.1799143992662519,0.15331702843164882,0.9283093855088766,0.50229287679601,0.0049554013875123815,0.008809359944941475,0.00015288182235129177,0.0,-0.02079866888519133,25.0,64.0,1.0,0.0,-25.0,-0.005472788081482901,-0.02593659942362614,0.08880666049945532,6546.666666666667,1188.3333333333333,1.4409559584721727
Bihar,2022,176.0,961.0,1137.0,5113.0,7268.0,2155.0,6545.0,6074.0,2815.0,3286.0,1.4214746724033989,0.42147467240359443,0.17372039724978247,0.14682964094726556,0.928036669212998,0.502062643239037,0.008481262327416195,-0.008323100013644447,0.0004585753592174502,0.0001646632636258527,-0.03398470688190314,43.0,-61.0,3.0,1.0,-40.0,-0.005016722408025993,-0.01767531219980448,0.05180388529134893,6542.666666666667,1172.0,1.4356921485971477
Bihar,2023,156.0,784.0,940.0,5314.0,7836.0,2522.0,6548.0,6098.0,2811.0,3261.0,1.4745954083550104,0.4745954083551986,0.14355528405617843,0.11973121563834456,0.9312767257176341,0.4980146609651041,0.03931155877175829,0.07815079801871216,0.0004583651642475761,0.003951267698386607,-0.17326297273526825,201.0,568.0,3.0,24.0,-197.0,-0.004560656734569084,0.02094140249759444,-0.130434782608575,6545.0,1084.6666666666667,1.447210736978546
