state,year,fallow_other_than_current,current_fallow,total_fallow,net_area_sown,gross_cropped_area,area_sown_more_than_once,agricultural_land,cultivated_land,uncultivable_land,uncultivated_land,cropping_intensity,double_cropped_share,fallow_share,current_fallow_share,cultivated_land_share,uncultivated_share,net_area_sown_change,gross_cropped_area_change,agricultural_land_change,cultivated_land_change,fallow_change,net_area_sown_delta,gross_cropped_area_delta,agricultural_land_delta,cultivated_land_delta,fallow_delta,agricultural_land_from_baseline,net_area_sown_from_baseline,fallow_from_baseline,agricultural_land_3yr_mean,fallow_3yr_mean,cropping_intensity_3yr_mean,conflict_count,people_affected,conflict_land_area_ha,conflict_observed,conflict_next_period,target_available
Mizoram,2015,127.0,47.0,174.0,145.0,188.0,44.0,367.0,191.0,1672.0,1848.0,1.2965517241289894,0.3034482758599762,0.4741144414156019,0.1280653950950189,0.5204359673010343,5.035422343310531,,,,,,,,,,,0.0,0.0,0.0,367.0,174.0,1.2965517241289894,0.0,0.0,0.0,False,,False
Mizoram,2016,127.0,47.0,174.0,145.0,186.0,42.0,367.0,191.0,1672.0,1848.0,1.2827586206808086,0.2896551724117955,0.4741144414156019,0.1280653950950189,0.5204359673010343,5.035422343310531,0.0,-0.0106382978723403,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,174.0,1.289655172404899,0.0,0.0,0.0,False,,False
Mizoram,2017,127.0,47.0,174.0,145.0,188.0,44.0,367.0,191.0,1672.0,1848.0,1.2965517241289894,0.3034482758599762,0.4741144414156019,0.1280653950950189,0.5204359673010343,5.035422343310531,0.0,0.010752688172043,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,174.0,1.2919540229795958,0.0,0.0,0.0,False,,False
Mizoram,2018,127.0,47.0,174.0,145.0,187.0,42.0,367.0,191.0,1672.0,1848.0,1.289655172404899,0.2896551724117955,0.4741144414156019,0.1280653950950189,0.5204359673010343,5.035422343310531,0.0,-0.0053191489361702,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,174.0,1.289655172404899,0.0,0.0,0.0,False,,False
Mizoram,2019,127.0,47.0,174.0,145.0,195.0,50.0,367.0,191.0,1672.0,1848.0,1.344827586197622,0.3448275862045185,0.4741144414156019,0.1280653950950189,0.5204359673010343,5.035422343310531,0.0,0.0427807486631015,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,174.0,1.31034482757717,0.0,0.0,0.0,False,,False
Mizoram,2020,127.0,47.0,174.0,145.0,206.0,61.0,367.0,191.0,1672.0,1848.0,1.420689655162616,0.4206896551695125,0.4741144414156019,0.1280653950950189,0.5204359673010343,5.035422343310531,0.0,0.0564102564102564,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,174.0,1.3517241379217122,0.0,0.0,0.0,False,,False
Mizoram,2021,127.0,47.0,174.0,145.0,206.0,62.0,367.0,191.0,1672.0,1848.0,1.420689655162616,0.4275862068936029,0.4741144414156019,0.1280653950950189,0.5204359673010343,5.035422343310531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,174.0,1.3954022988409511,0.0,0.0,0.0,False,,False
Mizoram,2022,127.0,47.0,174.0,145.0,206.0,62.0,367.0,191.0,1672.0,1848.0,1.420689655162616,0.4275862068936029,0.4741144414156019,0.1280653950950189,0.5204359673010343,5.035422343310531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,174.0,1.420689655162616,0.0,0.0,0.0,False,,False
Mizoram,2023,107.0,37.0,144.0,198.0,201.0,3.0,391.0,235.0,1669.0,1825.0,1.015151515146388,0.0151515151514386,0.3682864450118458,0.0946291560099881,0.6010230179012762,4.6675191815737405,0.3655172413793104,-0.0242718446601941,0.0653950953678474,0.2303664921465968,-0.1724137931034483,53.0,-5.0,24.0,44.0,-30.0,0.0653950953676692,0.3655172413767895,-0.1724137931024574,375.0,164.0,1.2855102751572067,0.0,0.0,0.0,False,,False
Mizoram,2024,3.0,5.0,8.0,145.0,202.0,57.0,165.0,150.0,1848.0,1863.0,1.3931034482662543,0.393103448273151,0.0484848484845546,0.0303030303028466,0.9090909090853996,11.290909090840662,-0.2676767676767676,0.0049751243781095,-0.578005115089514,-0.3617021276595744,-0.9444444444444444,-53.0,1.0,-226.0,-85.0,-136.0,-0.5504087193445493,0.0,-0.9540229885002643,307.6666666666667,108.66666666666669,1.2763148728584195,0.0,0.0,0.0,False,,False
