state,year,raw_values,pdf_page,y_position
Jharkhand,2023,7972|7970|2239|720|568|1288|131|133|390|655,150,516.26
Jharkhand,2024,7972|7970|2239|720|568|1288|131|133|390|655,150,525.02
Karnataka,2015,19179|19050|3073|1476|793|2269|907|276|409|1592,150,542.54
Karnataka,2016,19179|19050|3073|1495|793|2288|905|275|400|1581,150,551.3
Karnataka,2017,19179|19050|3073|1501|793|2294|905|274|400|1579,150,560.06
Karnataka,2018,19179|19050|3073|1505|769|2274|872|251|403|1527,150,568.82
Karnataka,2019,19179|19050|3073|1511|752|2263|871|238|390|1499,150,577.58
Karnataka,2020,19179|19050|3073|1516|743|2259|872|212|393|1477,150,586.34
Karnataka,2021,19179|19050|3074|1524|742|2266|874|211|394|1479,150,595.1
Karnataka,2022,19179|19050|3073|1553|740|2293|872|178|308|1358,150,603.86
Karnataka,2023,19179|19050|3073|1573|740|2312|872|177|315|1363,150,612.62
Karnataka,2024,19179|19050|3073|1589|740|2328|872|182|311|1365,150,621.38
Kerala,2015,3886|3886|1082|541|13|554|3|99|102,150,638.9
Kerala,2016,3886|3886|1082|546|12|558|2|101|104,150,647.66
Kerala,2017,3886|3886|1082|548|11|559|2|96|99,150,656.42
Kerala,2018,3886|3886|1082|559|10|570|2|96|99,150,665.18
Kerala,2019,3885|3886|1082|562|11|572|2|100|102,150,673.94
Kerala,2020,3885|3886|1082|567|10|576|2|94|96,150,682.7
Kerala,2021,3885|3886|1082|572|10|581|2|88|91,150,691.46
Kerala,2022,3886|3886|1082|595|9|604|2|95|97,150,700.22
Kerala,2023,3886|3886|1082|610|9|619|2|102|104,150,708.98
Kerala,2024,3886|3886|1082|618|9|627|2|104|106,150,717.74
Ladakh,2019,1|1|2|22|1|28|21|264|271,154,496.46
Ladakh,2020,1|1|2|20|22|1|28|265|272,154,505.22
Ladakh,2021,1|1|2|20|1|28|21|264|271,154,513.98
Ladakh,2022,1|2|3|22|1|32|24|263|271,154,522.74
Ladakh,2023,1|2|3|22|23|1|32|263|271,154,531.5
Ladakh,2024,1|2|3|22|23|1|32|24|39|47,154,540.26
Lakshadweep,2015,2|2|0|2|2|1|1,154,557.78
Lakshadweep,2016,2|2|0|2|2|1|1,154,566.54
