page,line_index,y,text
151,4,88.22,Territory/ Year Sown Cropped Area than once vable land/ Cultur- land land land (col.3-19)
151,5,94.46,(col.16-15) able land/ Arable (col.13+15) (col.3-18)
151,6,101.06,Fallow lands Current Total land
151,7,107.3,other than fallows (Col.12+13) (col.9+10+14+15)
151,8,113.54,current fallows
151,9,126.74,(1) (12) (13) (14) (15) (16) (17) (18) (19) (20) (21)
151,10,134.3,MADHYA
151,11,140.66,PRADESH
151,12,149.42,2015-16 507 561 1068 15149 23714 8565 17250 15710 13507 15046
151,13,158.18,2016-17 481 500 981 15228 24214 8986 17231 15728 13525 15028
151,14,166.94,2017-18 486 543 1029 15191 25114 9923 17207 15733 13549 15023
151,15,175.7,2018-19 467 493 960 15205 26115 10910 17121 15699 13636 15058
151,16,184.46,2019-20 401 374 775 15512 28277 12765 17183 15886 13569 14866
151,17,193.22,2020-21 356 404 760 15800 29903 14103 17449 16204 13308 14553
151,18,201.98,2021-22 357 344 701 15823 30049 14226 17432 16167 13324 14590
151,19,210.74,2022-23 351 325 675 15848 30117 14269 17442 16172 13314 14584
151,20,219.5,2023-24 401 399 801 15640 30265 14625 17423 16039 13333 14717
151,21,228.26,2024-25(p) 402 499 901 15545 30109 14564 17402 16044 13354 14712
151,22,237.73,MAHARASHTRA*
151,23,246.26,2015-16 1255 1477 2732 17192 23467 6275 21062 18669 9696 12089
151,24,255.02,2016-17 1258 1401 2659 16910 23947 7037 20748 18312 10011 12447
151,25,263.78,2017-18 1262 1366 2628 16943 23109 6166 20751 18309 9992 12434
151,26,272.54,2018-19 1260 1448 2708 16815 22194 5379 20719 18263 10039 12495
151,27,281.3,2019-20 1215 1444 2659 16722 23856 7134 20589 18166 10169 12592
151,28,290.06,2020-21 1214 1438 2652 16650 24917 8266 20509 18089 10249 12670
151,29,298.82,2021-22 1203 1456 2658 16590 25730 9140 20466 18046 10292 12712
151,30,307.58,2022-23 1195 1477 2671 16491 25375 8884 20394 17968 10364 12790
151,31,316.34,2023-24 1158 1443 2602 16571 24133 7562 20391 18014 10382 12758
151,32,325.1,2024-25(p) 1152 1443 2595 16543 25112 8570 20371 17986 10388 12774
151,33,333.86,MANIPUR*
151,34,342.62,2015-16 0 0 0 437 437 444 437 1728 1734
151,35,351.38,2016-17 0 0 0 469 469 476 469 1728 1734
151,36,360.14,2017-18 0 0 0 446 446 453 446 1713 1720
151,37,368.9,2018-19 0 0 0 441 441 448 442 1713 1720
151,38,377.66,2019-20 0 0 0 331 331 338 331 1688 1695
151,39,386.42,2020-21 0 0 0 410 410 417 410 1688 1695
151,40,395.18,2021-22 0 0 0 393 393 399 393 1688 1695
151,41,403.94,2022-23 0 0 0 382 382 389 382 1688 1695
151,42,412.7,2023-24 0 0 0 382 382 389 382 1688 1695
151,43,421.46,2024-25(p) 0 0 0 187 275 88 194 187 1688 1695
151,44,430.22,MEGHALAYA
151,45,438.98,2015-16 153 60 213 245 303 57 1008 305 1185 1887
151,46,447.74,2016-17 154 60 214 252 309 56 1015 312 1181 1884
151,47,456.5,2017-18 153 58 211 253 309 56 1013 311 1183 1885
151,48,465.26,2018-19 153 57 210 255 312 57 1011 312 1185 1884
151,49,474.02,2019-20 153 58 211 255 313 58 1010 313 1185 1883
151,50,482.78,2020-21 154 58 212 253 309 56 1010 312 1185 1884
151,51,491.54,2021-22 154 54 207 269 325 56 1015 323 1189 1881
151,52,500.3,2022-23 150 53 203 274 330 56 1014 327 1190 1876
151,53,509.06,2023-24 150 53 203 274 366 92 1014 327 1190 1876
151,54,517.82,2024-25(p) 150 53 203 274 366 92 1014 327 1190 1876
151,55,526.58,MIZORAM
151,56,535.34,2015-16* 127 47 174 145 188 44 367 191 1672 1848
151,57,544.1,2016-17* 127 47 174 145 186 42 367 191 1672 1848
151,58,552.86,2017-18* 127 47 174 145 188 44 367 191 1672 1848
151,59,561.62,2018-19* 127 47 174 145 187 42 367 191 1672 1848
151,60,570.38,2019-20* 127 47 174 145 195 50 367 191 1672 1848
151,61,579.14,2020-21* 127 47 174 145 206 61 367 191 1672 1848
151,62,587.9,2021-22* 127 47 174 145 206 62 367 191 1672 1848
151,63,596.66,2022-23 127 47 174 145 206 62 367 191 1672 1848
151,64,605.42,2023-24 107 37 144 198 201 3 391 235 1669 1825
151,65,614.18,2024-25(p) 3 5 8 145 202 57 165 150 1848 1863
151,66,622.94,NAGALAND
151,67,631.7,2015-16 100 50 150 384 504 120 695 434 958 1219
151,68,640.46,2016-17 106 47 153 385 521 137 694 431 958 1221
151,69,649.22,2017-18 110 44 153 385 530 145 694 428 958 1224
151,70,657.98,2018-19 111 49 160 384 529 145 678 432 975 1221
151,71,666.74,2019-20 112 48 160 384 530 146 676 432 978 1222
151,72,675.5,2020-21 112 47 159 386 532 146 674 433 981 1222
151,73,684.26,2021-22 186 92 278 265 319 54 672 357 984 1300
151,74,693.02,2022-23 121 59 180 361 471 110 669 419 987 1237
151,75,701.78,2023-24 119 58 177 366 481 115 668 424 989 1233
151,76,710.54,2024-25(p) 125 63 187 356 468 112 666 419 990 1238
151,77,768.0,138
152,0,55.82,TABLE 5
152,1,62.42,STATE WISE LAND USE CLASSIFICATION - 2015-16 TO 2024-25
152,2,75.62,(Thousand Hectares)
152,3,81.98,State/ Union Fallow Lands Net area Gross Area sown more Agri. Land/ Culti- Cultivated Un-cultivable Un-cultivated
152,4,88.22,Territory/ Year Sown Cropped Area than once vable land/ Cultur- land land land (col.3-19)
152,5,94.46,(col.16-15) able land/ Arable (col.13+15) (col.3-18)
152,6,101.06,Fallow lands Current Total land
152,7,107.3,other than fallows (Col.12+13) (col.9+10+14+15)
152,8,113.54,current fallows
152,9,126.74,(1) (12) (13) (14) (15) (16) (17) (18) (19) (20) (21)
152,10,135.5,ODISHA
152,11,144.26,2015-16 655 1028 1683 4198 4803 605 6648 5226 8779 10201
152,12,153.02,2016-17 685 1085 1770 4099 4884 785 6690 5184 9254 10760
152,13,161.78,2017-18 777 1216 1993 3863 4502 639 6745 5079 8679 10345
152,14,170.54,2018-19 738 1089 1827 4006 4527 521 6675 5095 8756 10336
152,15,179.3,2019-20 705 1055 1760 4102 4670 568 6699 5157 8082 9624
152,16,188.06,2020-21 672 986 1658 4179 4819 640 6654 5165 8240 9729
152,17,196.82,2021-22 688 943 1632 4322 4997 676 6782 5265 8063 9580
152,18,205.58,2022-23 704 908 1613 4269 5014 745 6742 5178 8199 9763
152,19,214.34,2023-24 701 903 1604 4307 5168 861 6724 5211 8156 9669
152,20,223.1,2024-25(p) 678 814 1492 4358 5260 902 6688 5172 4884 6399
152,21,231.86,PUNJAB
152,22,240.62,2015-16 6 77 82 4137 7872 3734 4245 4214 788 819
152,23,249.38,2016-17 6 78 84 4130 7804 3674 4237 4208 796 824
152,24,258.14,2017-18 6 85 91 4124 7779 3655 4235 4209 798 824
152,25,266.9,2018-19 6 86 91 4119 7851 3732 4233 4205 800 828
152,26,275.66,2019-20 5 88 93 4127 7838 3711 4238 4214 795 818
152,27,284.42,2020-21 5 87 93 4126 7835 3709 4237 4213 796 820
152,28,293.18,2021-22 5 90 95 4113 7916 3803 4225 4203 807 830
152,29,301.94,2022-23 5 91 95 4110 8312 4201 4225 4201 806 830
152,30,310.7,2023-24 5 92 97 4109 8263 4154 4226 4201 806 831
152,31,319.46,2024-25(p) 5 105 110 4103 8139 4036 4232 4208 807 832
152,32,328.22,RAJASTHAN
152,33,336.98,2015-16 1966 1597 3563 18024 25014 6989 25504 19622 8764 14646
152,34,345.74,2016-17 1983 1491 3474 18169 26036 7867 25496 19659 8783 14619
152,35,354.5,2017-18 1992 1742 3734 17903 25069 7166 25493 19645 8794 14642
152,36,363.26,2018-19 2106 1789 3895 17778 25313 7535 25484 19567 8803 14720
152,37,372.02,2019-20 2142 1555 3698 18032 27515 9484 25475 19587 8816 14703
152,38,380.78,2020-21 2093 1675 3768 17948 26100 8152 25473 19623 8816 14666
152,39,389.54,2021-22 2040 1585 3625 18130 27442 9312 25463 19715 8829 14578
152,40,398.3,2022-23 1946 1502 3449 18423 28171 9749 25464 19925 8817 14357
152,41,407.06,2023-24 1961 1730 3692 18198 27696 9498 25446 19928 8816 14334
152,42,415.82,2024-25(p) 1931 1792 3723 18209 28193 9984 25442 20001 8902 14343
152,43,424.58,SIKKIM*
152,44,433.34,2015-16 5 7 12 77 137 59 97 84 346 358
152,45,442.1,2016-17 5 7 12 77 146 69 97 84 346 358
152,46,450.86,2017-18 5 7 12 77 153 75 97 84 344 357
152,47,459.62,2018-19 5 7 12 77 162 85 97 84 344 357
152,48,468.38,2019-20 5 7 12 77 162 85 97 84 344 357
152,49,477.14,2020-21 5 7 12 77 140 63 97 84 344 357
152,50,485.9,2021-22 5 7 12 77 140 63 97 84 344 357
152,51,494.66,2022-23 6 3 9 83 139 56 103 86 387 405
152,52,503.42,2023-24 6 3 9 83 139 56 103 86 387 405
152,53,512.18,2024-25(p) 5 4 9 88 111 23 110 92 206 224
152,54,520.94,TAMIL NADU
152,55,529.7,2015-16 1729 989 2718 4833 6074 1241 8110 5822 4923 7211
152,56,538.46,2016-17 1848 1361 3208 4347 5129 782 8110 5708 4923 7325
152,57,547.22,2017-18 1933 992 2925 4639 5730 1091 8110 5630 4923 7403
152,58,555.98,2018-19 1931 1047 2978 4582 5672 1090 8109 5630 4924 7403
152,59,564.74,2019-20 1906 920 2827 4738 5942 1204 8108 5659 4925 7374
152,60,573.5,2020-21 1865 893 2758 4833 6156 1322 8106 5726 4927 7307
152,61,582.26,2021-22 1864 800 2664 4909 6348 1439 8105 5709 4928 7324
152,62,591.02,2022-23 1905 858 2763 4838 6419 1582 8105 5695 4928 7338
152,63,599.78,2023-24 1866 961 2827 4756 6117 1360 8104 5718 4929 7316
152,64,608.54,2024-25(p) 1899 856 2755 4827 6225 1399 8104 5683 4929 7351
152,65,617.3,TELANGANA
152,66,626.06,2015-16 822 1578 2400 4175 4893 719 6870 5753 4338 5455
152,67,634.82,2016-17 669 1015 1684 4774 5970 1196 6752 5789 4456 5418
152,68,643.58,2017-18 662 916 1578 4898 6059 1161 6770 5814 4438 5394
152,69,652.34,2018-19 751 1064 1815 4660 5774 1115 6767 5724 4441 5484
152,70,661.1,2019-20 566 444 1010 5500 7479 1978 6785 5944 4423 5263
152,71,669.86,2020-21 379 210 589 5927 8479 2553 6717 6137 4491 5071
152,72,678.62,2021-22 344 553 896 5625 8026 2401 6715 6178 4493 5030
152,73,687.38,2022-23 315 333 648 5897 9278 3382 6735 6230 4473 4978
152,74,696.14,2023-24 283 692 975 5564 8486 2921 6728 6256 4480 4951
152,75,704.9,2024-25(p) 291 631 922 5618 8931 3313 6728 6249 4480 4959
152,76,768.0,139
153,0,55.82,TABLE 5
153,1,62.42,STATE WISE LAND USE CLASSIFICATION - 2015-16 TO 2024-25
153,2,75.62,(Thousand Hectares)
153,3,81.98,State/ Union Fallow Lands Net area Gross Area sown more Agri. Land/ Culti- Cultivated Un-cultivable Un-cultivated
153,4,88.22,Territory/ Year Sown Cropped Area than once vable land/ Cultur- land land land (col.3-19)
153,5,94.46,(col.16-15) able land/ Arable (col.13+15) (col.3-18)
153,6,101.06,Fallow lands Current Total land
153,7,107.3,other than fallows (Col.12+13) (col.9+10+14+15)
153,8,113.54,current fallows
153,9,126.74,(1) (12) (13) (14) (15) (16) (17) (18) (19) (20) (21)
153,10,135.5,TRIPURA
153,11,144.26,2015-16 2 1 3 255 486 230 272 257 777 793
153,12,153.02,2016-17 2 1 2 255 491 235 271 256 778 793
153,13,161.78,2017-18 2 1 2 255 487 232 271 256 778 793
153,14,170.54,2018-19 1 1 2 256 487 231 270 257 779 793
153,15,179.3,2019-20 1 1 2 255 487 232 270 256 779 793
153,16,188.06,2020-21 1 1 2 255 487 232 270 256 779 793
153,17,196.82,2021-22 1 1 2 255 487 231 270 256 779 793
153,18,205.58,2022-23 1 1 2 255 485 230 269 256 780 794
153,19,214.34,2023-24 1 1 2 255 483 228 269 256 780 794
153,20,223.1,2024-25(p) 1 1 2 253 479 226 267 254 782 796
153,21,231.86,UTTARAKHAND
153,22,240.62,2015-16 86 57 143 698 1083 384 1547 756 4445 5237
153,23,249.38,2016-17 88 62 150 691 1082 391 1546 752 4447 5240
153,24,258.14,2017-18 86 73 160 673 1060 386 1550 746 4455 5258
153,25,266.9,2018-19 89 88 177 648 1029 381 1548 736 4454 5266
153,26,275.66,2019-20 90 93 183 638 1024 386 1545 731 4456 5271
153,27,284.42,2020-21 100 92 191 621 997 376 1544 712 4457 5289
153,28,293.18,2021-22 108 97 205 594 969 376 1541 691 4460 5310
153,29,301.94,2022-23 152 64 216 568 932 364 1540 633 4461 5369
153,30,310.7,2023-24 160 47 207 551 907 356 1564 598 4438 5404
153,31,319.46,2024-25(p) 165 43 208 527 851 323 1562 570 4441 5432
153,32,332.9,UTTAR PRADESH
153,33,341.66,2015-16 547 1161 1708 16469 26203 9734 18863 17630 5307 6541
153,34,350.42,2016-17 520 1090 1610 16564 26949 10385 18848 17654 5323 6516
153,35,359.18,2017-18 552 1061 1613 16542 26864 10322 18826 17602 5344 6568
153,36,367.94,2018-19 594 987 1581 16538 26859 10321 18775 17524 5395 6646
153,37,376.7,2019-20 618 992 1610 16368 27109 10741 18614 17360 5557 6811
153,38,385.46,2020-21 618 992 1610 16368 27109 10741 18614 17360 5557 6811
153,39,394.22,2021-22 596 966 1562 16096 28200 12104 18264 17062 5250 6451
153,40,402.98,2022-23 591 920 1512 16121 28237 12116 18227 17041 5288 6474
153,41,411.74,2023-24 534 821 1355 16365 29783 13418 18237 17187 5854 6904
153,42,420.5,2024-25(p) 441 719 1160 16684 32311 15627 18321 17403 5772 6690
153,43,429.26,WEST BENGAL
153,44,438.02,2015-16 11 328 339 5243 9881 4638 5648 5571 3036 3113
153,45,446.78,2016-17 10 313 322 5246 9618 4372 5633 5559 3052 3126
153,46,455.54,2017-18 7 308 315 5247 9945 4698 5625 5555 3060 3129
153,47,464.3,2018-19 6 301 307 5248 9960 4711 5615 5549 3069 3135
153,48,473.06,2019-20 5 300 305 5250 10100 4850 5608 5550 3076 3134
153,49,481.82,2020-21 6 259 265 5282 10207 4925 5602 5541 3082 3143
153,50,490.58,2021-22 6 254 260 5281 10259 4978 5595 5535 3089 3149
153,51,499.34,2022-23 6 314 320 5216 9974 4758 5589 5529 3095 3155
153,52,508.1,2023-24 6 278 284 5245 10133 4887 5583 5524 3101 3161
153,53,516.86,2024-25(p) 6 244 250 5274 10683 5410 5577 5518 3107 3166
153,54,523.58,NICOBAR
153,55,529.94,ISLANDS*
153,56,538.7,2015-16 3 3 6 15 48 33 28 17 730 740
153,57,547.46,2016-17 3 3 6 15 44 30 28 17 730 740
153,58,556.22,2017-18 3 3 6 15 49 34 28 17 730 740
153,59,564.98,2018-19 3 3 6 15 41 26 28 17 730 740
153,60,573.74,2019-20 3 3 6 15 46 31 28 17 687 697
153,61,582.5,2020-21 3 3 6 15 40 25 28 17 687 697
153,62,591.26,2021-22 3 3 6 15 39 25 28 17 687 697
153,63,600.02,2022-23 3 3 6 15 39 25 28 17 687 697
153,64,608.78,2023-24 4 1 4 10 16 6 22 11 693 704
153,65,617.54,2024-25(p) 4 1 5 11 16 6 23 12 736 748
153,66,626.3,CHANDIGARH
153,67,635.06,2015-16* 0 0 0 1 1 0 1 1 6 6
153,68,643.82,2016-17* 0 0 0 1 1 0 1 1 6 6
153,69,652.58,2017-18* 0 0 0 1 2 1 1 1 6 6
153,70,661.34,2018-19* 0 0 0 1 1 0 1 1 6 6
153,71,670.1,2019-20* 0 0 0 1 3 1 1 1 8 8
153,72,678.86,2020-21* 0 0 0 1 2 1 1 1 8 8
153,73,687.62,2021-22* 0 0 0 1 2 1 1 1 8 8
153,74,696.38,2022-23* 0 0 0 1 2 1 1 1 8 8
153,75,705.14,2023-24 0 0 0 1 1 0 1 1 8 8
153,76,713.9,2024-25(p) 0 0 0 1 2 1 1 1 6 6
153,77,768.0,140
154,0,55.82,TABLE 5
154,1,62.42,STATE WISE LAND USE CLASSIFICATION - 2015-16 TO 2024-25
154,2,75.62,(Thousand Hectares)
154,3,81.98,State/ Union Fallow Lands Net area Gross Area sown more Agri. Land/ Culti- Cultivated Un-cultivable Un-cultivated
154,4,88.22,Territory/ Year Sown Cropped Area than once vable land/ Cultur- land land land (col.3-19)
154,5,94.46,(col.16-15) able land/ Arable (col.13+15) (col.3-18)
154,6,101.06,Fallow lands Current Total land
154,7,107.3,other than fallows (Col.12+13) (col.9+10+14+15)
154,8,113.54,current fallows
