type,page,state,year,values
numeric,150,,,2015|-16|3886|3886|1082|541|13|554|3|99|102
numeric,150,,,2016|-17|3886|3886|1082|546|12|558|2|101|104
numeric,150,,,2017|-18|3886|3886|1082|548|11|559|2|96|99
numeric,150,,,2018|-19|3886|3886|1082|559|10|570|2|96|99
numeric,150,,,2019|-20|3885|3886|1082|562|11|572|2|100|102
numeric,150,,,2020|-21|3885|3886|1082|567|10|576|2|94|96
numeric,150,,,2021|-22|3885|3886|1082|572|10|581|2|88|91
numeric,150,,,2022|-23|3886|3886|1082|595|9|604|2|95|97
numeric,150,,,2023|-24|3886|3886|1082|610|9|619|2|102|104
numeric,150,,,2024|-25|3886|3886|1082|618|9|627|2|104|106
numeric,151,,,1|12|13|14|15|16|17|18|19|20|21
numeric,151,,,2015|-16|507|561|1068|15149|23714|8565|17250|15710|13507|15046
numeric,151,,,2016|-17|481|500|981|15228|24214|8986|17231|15728|13525|15028
numeric,151,,,2017|-18|486|543|1029|15191|25114|9923|17207|15733|13549|15023
numeric,151,,,2018|-19|467|493|960|15205|26115|10910|17121|15699|13636|15058
numeric,151,,,2019|-20|401|374|775|15512|28277|12765|17183|15886|13569|14866
numeric,151,,,2020|-21|356|404|760|15800|29903|14103|17449|16204|13308|14553
numeric,151,,,2021|-22|357|344|701|15823|30049|14226|17432|16167|13324|14590
numeric,151,,,2022|-23|351|325|675|15848|30117|14269|17442|16172|13314|14584
numeric,151,,,2023|-24|401|399|801|15640|30265|14625|17423|16039|13333|14717
numeric,151,,,2024|-25|402|499|901|15545|30109|14564|17402|16044|13354|14712
numeric,151,,,2015|-16|1255|1477|2732|17192|23467|6275|21062|18669|9696|12089
numeric,151,,,2016|-17|1258|1401|2659|16910|23947|7037|20748|18312|10011|12447
numeric,151,,,2017|-18|1262|1366|2628|16943|23109|6166|20751|18309|9992|12434
numeric,151,,,2018|-19|1260|1448|2708|16815|22194|5379|20719|18263|10039|12495
numeric,151,,,2019|-20|1215|1444|2659|16722|23856|7134|20589|18166|10169|12592
numeric,151,,,2020|-21|1214|1438|2652|16650|24917|8266|20509|18089|10249|12670
numeric,151,,,2021|-22|1203|1456|2658|16590|25730|9140|20466|18046|10292|12712
numeric,151,,,2022|-23|1195|1477|2671|16491|25375|8884|20394|17968|10364|12790
numeric,151,,,2023|-24|1158|1443|2602|16571|24133|7562|20391|18014|10382|12758
